year,month,airline_name,airport_code,airport_name,total_arrival_flights,delayed_arrivals_15_plus,estimated_delayed_arrivals_due_to_airline,estimated_delayed_arrivals_due_to_weather,estimated_delayed_arrivals_due_to_nas,estimated_delayed_arrivals_due_to_security,estimated_delayed_arrivals_due_to_late_aircraft,cancelled_arrivals,diverted_arrivals,total_arrival_delay_minutes,airline_delay_minutes,weather_delay_minutes,nas_delay_minutes,security_delay_minutes,late_aircraft_delay_minutes,internal_ops_count,system_ops_count,external_ops_count,internal_ops_count_rounded,system_ops_count_rounded,external_ops_count_rounded,internal_ops_delay_minutes,system_ops_delay_minutes,external_ops_delay_minutes,delay_rate,cancellation_rate,diversion_rate,avg_delay_minutes_per_delayed_flight,avg_internal_minutes_per_event,avg_system_minutes_per_event,avg_external_minutes_per_event,disruption_impact_minutes,period_label,operational_state
2020,3,Alaska Airlines,JFK,John F. Kennedy International Airport (JFK),374,33,10.72,0.0,17.37,0.0,4.9,66,0,1657,803,0,559,0,295,15.620000000000001,17.37,0.0,16,17,0,1098,559,0,0.08823529411764706,0.17647058823529413,0.0,50.21212121212121,70.2944942381562,32.18192285549798,0.0,13537.0,2020-03,disrupted
2020,3,American Airlines,JFK,John F. Kennedy International Airport (JFK),1262,76,28.91,1.67,21.71,0.34,23.37,261,2,5725,2259,66,798,26,2576,52.28,21.71,2.01,52,22,2,4835,798,92,0.060221870047543584,0.20681458003169573,0.001584786053882726,75.32894736842105,92.48278500382555,36.757254721326575,45.77114427860697,53185.0,2020-03,disrupted
2020,3,Delta Air Lines,JFK,John F. Kennedy International Airport (JFK),3061,198,69.81,1.44,72.97,1.86,51.91,644,6,13624,6215,221,3476,86,3626,121.72,72.97,3.3,122,73,3,9841,3476,307,0.06468474354786018,0.21038876184253513,0.0019601437438745506,68.8080808080808,80.84949063424253,47.636014800602986,93.03030303030303,130984.0,2020-03,disrupted
2020,3,Endeavor Air,JFK,John F. Kennedy International Airport (JFK),1942,103,32.86,1.66,29.95,0.0,38.53,187,1,8187,4097,245,1356,0,2489,71.39,29.95,1.66,71,30,2,6586,1356,245,0.05303810504634397,0.09629248197734294,0.0005149330587023687,79.48543689320388,92.25381706121306,45.2754590984975,147.59036144578315,42087.0,2020-03,disrupted
2020,3,Envoy Air,JFK,John F. Kennedy International Airport (JFK),308,19,3.52,0.82,7.94,0.0,6.72,87,0,1396,425,23,387,0,561,10.24,7.94,0.82,10,8,1,986,387,23,0.06168831168831169,0.2824675324675325,0.0,73.47368421052632,96.2890625,48.740554156171285,28.04878048780488,17056.0,2020-03,disrupted
2020,3,Hawaiian Airlines,JFK,John F. Kennedy International Airport (JFK),29,8,8.0,0.0,0.0,0.0,0.0,4,0,434,434,0,0,0,0,8.0,0.0,0.0,8,0,0,434,0,0,0.27586206896551724,0.13793103448275862,0.0,54.25,54.25,0.0,0.0,1154.0,2020-03,disrupted
2020,3,JetBlue Airways,JFK,John F. Kennedy International Airport (JFK),3540,272,91.57,1.72,66.42,1.0,111.29,613,6,17159,6364,125,3443,21,7206,202.86,66.42,2.7199999999999998,203,66,3,13570,3443,146,0.0768361581920904,0.1731638418079096,0.001694915254237288,63.08455882352941,66.89342403628117,51.836796145739235,53.6764705882353,128939.0,2020-03,disrupted
2020,3,Republic Airline,JFK,John F. Kennedy International Airport (JFK),310,20,5.31,0.0,11.23,0.0,3.45,38,0,1079,304,0,422,0,353,8.76,11.23,0.0,9,11,0,657,422,0,0.06451612903225806,0.12258064516129032,0.0,53.95,75.0,37.57791629563668,0.0,7919.0,2020-03,disrupted
2020,4,Alaska Airlines,JFK,John F. Kennedy International Airport (JFK),101,0,0.0,0.0,0.0,0.0,0.0,17,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.16831683168316833,0.0,0.0,0.0,0.0,0.0,3060.0,2020-04,disrupted
2020,4,American Airlines,JFK,John F. Kennedy International Airport (JFK),409,15,12.55,0.0,0.0,0.0,2.45,261,0,740,529,0,0,0,211,15.0,0.0,0.0,15,0,0,740,0,0,0.03667481662591687,0.6381418092909535,0.0,49.333333333333336,49.333333333333336,0.0,0.0,47720.0,2020-04,disrupted
2020,4,Delta Air Lines,JFK,John F. Kennedy International Airport (JFK),488,9,6.33,0.0,2.2,0.0,0.47,182,0,435,337,0,48,0,50,6.8,2.2,0.0,7,2,0,387,48,0,0.018442622950819672,0.3729508196721312,0.0,48.333333333333336,56.911764705882355,21.818181818181817,0.0,33195.0,2020-04,disrupted
2020,4,Endeavor Air,JFK,John F. Kennedy International Airport (JFK),438,12,6.01,0.97,4.18,0.0,0.84,276,0,913,549,142,124,0,98,6.85,4.18,0.97,7,4,1,647,124,142,0.0273972602739726,0.6301369863013698,0.0,76.08333333333333,94.45255474452556,29.66507177033493,146.39175257731958,50593.0,2020-04,disrupted
2020,4,JetBlue Airways,JFK,John F. Kennedy International Airport (JFK),1001,20,9.63,1.0,4.59,0.0,4.77,363,0,1156,651,34,121,0,350,14.4,4.59,1.0,14,5,1,1001,121,34,0.01998001998001998,0.3626373626373626,0.0,57.8,69.51388888888889,26.36165577342048,34.0,66496.0,2020-04,disrupted
2020,4,Piedmont Airlines,JFK,John F. Kennedy International Airport (JFK),8,1,1.0,0.0,0.0,0.0,0.0,3,0,22,22,0,0,0,0,1.0,0.0,0.0,1,0,0,22,0,0,0.125,0.375,0.0,22.0,22.0,0.0,0.0,562.0,2020-04,disrupted
2020,4,Republic Airline,JFK,John F. Kennedy International Airport (JFK),103,0,0.0,0.0,0.0,0.0,0.0,76,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.7378640776699029,0.0,0.0,0.0,0.0,0.0,13680.0,2020-04,disrupted
2020,5,Alaska Airlines,JFK,John F. Kennedy International Airport (JFK),69,1,0.0,0.0,1.0,0.0,0.0,0,0,17,0,0,17,0,0,0.0,1.0,0.0,0,1,0,0,17,0,0.014492753623188406,0.0,0.0,17.0,0.0,17.0,0.0,17.0,2020-05,normal
2020,5,American Airlines,JFK,John F. Kennedy International Airport (JFK),87,5,4.0,0.0,1.0,0.0,0.0,0,0,192,175,0,17,0,0,4.0,1.0,0.0,4,1,0,175,17,0,0.05747126436781609,0.0,0.0,38.4,43.75,17.0,0.0,192.0,2020-05,normal
