year,month,airline_name,total_arrival_flights,cancelled_arrivals,diverted_arrivals,delayed_arrivals_15_plus,total_arrival_delay_minutes,airline_delay_minutes,weather_delay_minutes,nas_delay_minutes,security_delay_minutes,late_aircraft_delay_minutes
2025,10,Frontier Airlines,301,0,2,45,3832,919,9,578,0,2326
2025,10,Hawaiian Airlines,31,0,0,6,292,215,0,0,16,61
2025,10,JetBlue Airways,2976,45,11,591,48536,13554,429,17424,16,17113
2025,10,Republic Airline,1362,30,2,227,18927,2763,902,8571,45,6646
2025,11,Alaska Airlines,332,7,10,55,3039,739,118,1401,135,646
2025,11,American Airlines,1237,20,4,282,21416,6531,263,4402,0,10220
2025,11,Delta Air Lines,2547,23,7,433,33043,13503,583,9194,0,9763
2025,11,Endeavor Air,1739,57,1,334,33169,8832,1984,8983,0,13370
2025,11,Frontier Airlines,298,5,0,53,4802,2734,116,527,0,1425
2025,11,Hawaiian Airlines,30,0,0,5,273,130,0,0,0,143
2025,11,JetBlue Airways,2905,129,3,607,47018,14952,289,11030,92,20655
2025,11,Republic Airline,1271,60,4,228,14221,3385,496,4637,0,5703
2025,12,Alaska Airlines,367,7,3,80,5191,1393,24,2353,119,1302
2025,12,American Airlines,1246,22,1,346,31029,10077,923,5759,20,14250
2025,12,Delta Air Lines,2637,131,14,588,50965,20021,3668,12444,0,14832
2025,12,Endeavor Air,1541,82,1,533,51582,12799,2905,12948,0,22930
2025,12,Frontier Airlines,307,12,0,80,5844,1968,100,1153,0,2623
2025,12,Hawaiian Airlines,31,0,0,11,655,338,34,0,0,283
2025,12,JetBlue Airways,2965,131,2,920,77913,26787,853,15723,765,33785
2025,12,Republic Airline,1299,46,2,358,26239,6224,2573,8599,140,8703
