variable,distribution,param_1,param_2,log_likelihood,aic,sample_size,normal_state_mean,disrupted_state_mean,selected
total_avg_delay_minutes,lognorm,0.3724618993469289,65.60206881198518,-2593.5879822943803,5191.1759645887605,562,67.46658078625242,76.76082353156728,False
total_avg_delay_minutes,weibull_min,3.1226780394728015,77.75123918535456,-2571.4202762303066,5146.840552460613,562,67.46658078625242,76.76082353156728,True
internal_avg_delay_minutes,lognorm,0.3937003086225113,74.13469733160284,-2679.0952120588627,5362.190424117725,559,78.28013024030696,83.23635604180025,True
internal_avg_delay_minutes,weibull_min,2.651925660628212,88.72929338977906,-2687.2054528138656,5378.410905627731,559,78.28013024030696,83.23635604180025,False
system_avg_delay_minutes,lognorm,0.4251178409038492,47.64972492136342,-2204.8584042775137,4413.7168085550275,498,47.83449154920299,65.52511359835972,True
system_avg_delay_minutes,weibull_min,2.2118608950243717,59.0618092314054,-2263.3837143343126,4530.767428668625,498,47.83449154920299,65.52511359835972,False
external_avg_delay_minutes,lognorm,0.6143885479172155,87.21945834882318,-2430.107211891712,4864.214423783424,450,103.71407330340902,111.82719645458327,True
external_avg_delay_minutes,weibull_min,1.5133309165564839,118.455089171047,-2482.8094888431774,4969.618977686355,450,103.71407330340902,111.82719645458327,False
