cause,delay_minutes,share_of_total_delay_minutes
Late Aircraft,787632,0.34128062561528544
NAS,738411,0.3199531863118925
Airline,683367,0.2961026434741615
Weather,95275,0.04128261879341662
Security,3187,0.001380925805243965
