year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2025,9,F9,Frontier Airlines,JFK,"New York, NY: John F. Kennedy International",290.00,41.00,19.17,0.36,8.46,0.00,13.01,0.00,0.00,2531.00,1012.00,14.00,238.00,0.00,1267.00
2025,9,HA,Hawaiian Airlines Network,JFK,"New York, NY: John F. Kennedy International",30.00,7.00,4.52,0.00,0.00,0.88,1.61,0.00,0.00,212.00,143.00,0.00,0.00,21.00,48.00
2025,9,YX,Republic Airline,JFK,"New York, NY: John F. Kennedy International",1414.00,214.00,47.32,8.94,82.43,0.49,74.82,20.00,2.00,17777.00,3057.00,1817.00,6910.00,14.00,5979.00
2025,8,HA,Hawaiian Airlines Network,JFK,"New York, NY: John F. Kennedy International",31.00,6.00,4.61,0.00,0.00,0.03,1.36,0.00,0.00,267.00,181.00,0.00,0.00,2.00,84.00
2025,8,YX,Republic Airline,JFK,"New York, NY: John F. Kennedy International",1362.00,238.00,51.16,9.17,125.80,1.18,50.68,22.00,0.00,15477.00,2998.00,686.00,8292.00,63.00,3438.00
2025,8,9E,Endeavor Air Inc.,JFK,"New York, NY: John F. Kennedy International",1920.00,271.00,57.00,18.01,96.29,0.00,99.70,28.00,0.00,29372.00,7596.00,2342.00,10792.00,0.00,8642.00
2025,8,AA,American Airlines Network,JFK,"New York, NY: John F. Kennedy International",1134.00,276.00,83.55,15.91,84.97,0.68,90.89,10.00,5.00,25738.00,7574.00,1353.00,6392.00,31.00,10388.00
2025,8,AS,Alaska Airlines Network,JFK,"New York, NY: John F. Kennedy International",329.00,110.00,19.36,3.63,69.78,0.59,16.64,3.00,2.00,5675.00,1127.00,501.00,2968.00,13.00,1066.00
2025,8,B6,JetBlue Airways,JFK,"New York, NY: John F. Kennedy International",3293.00,734.00,229.72,26.42,220.71,2.21,254.94,32.00,7.00,63133.00,21163.00,1509.00,15056.00,73.00,25332.00
2025,8,DL,Delta Air Lines Network,JFK,"New York, NY: John F. Kennedy International",2654.00,446.00,143.60,22.91,154.52,0.00,124.97,24.00,7.00,43593.00,17113.00,1831.00,13388.00,0.00,11261.00
2025,8,F9,Frontier Airlines,JFK,"New York, NY: John F. Kennedy International",309.00,74.00,23.01,2.06,22.10,0.00,26.83,1.00,0.00,4681.00,1170.00,106.00,1672.00,0.00,1733.00
2025,7,YX,Republic Airline,JFK,"New York, NY: John F. Kennedy International",1309.00,315.00,64.81,16.52,151.45,0.00,82.22,142.00,5.00,27101.00,4858.00,2113.00,13283.00,0.00,6847.00
2025,7,HA,Hawaiian Airlines Network,JFK,"New York, NY: John F. Kennedy International",31.00,7.00,4.74,0.69,0.00,0.00,1.57,0.00,0.00,149.00,110.00,11.00,0.00,0.00,28.00
2025,7,9E,Endeavor Air Inc.,JFK,"New York, NY: John F. Kennedy International",1925.00,442.00,87.92,19.39,198.75,0.00,135.93,268.00,2.00,49167.00,10998.00,2208.00,21214.00,0.00,14747.00
